scenario_id,sensitivity_id,scenario_period_id,election_year,start_inclusive,end_exclusive,days,election_party_set,votes,national_vote_total,vote_share,seats,seat_share,q_C,d_C,R_C,A_C,B_C,inversion_status
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,affiliation-7f51ac18f31f@service-michel_temer-0-46,CV5-001,2014,2015-01-01,2015-03-19,77,PCdoB;PDT;PMDB;PP;PR;PRB;PROS;PSD;PT;PTB,58136873,97355354,0.5971615387480385,329,0.6413255360623782,306.3438693777437,22.656130622256274,1.0739565334481025,18.06336845268631,4.592762169569966,False
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,affiliation-7f51ac18f31f@service-michel_temer-0-46,CV5-002,2014,2015-03-19,2016-03-18,365,PCdoB;PDT;PMDB;PP;PR;PRB;PSD;PT;PTB,56159756,97355354,0.5768532873908506,318,0.6198830409356725,295.9257364315064,22.074263568493624,1.0745939296618185,18.24506595458887,3.829197613904753,False
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,affiliation-7f51ac18f31f@service-michel_temer-0-46,CV5-003,2014,2016-03-18,2016-03-31,13,PCdoB;PDT;PMDB;PP;PR;PROS;PSD;PT;PTB,53712049,97355354,0.5517113008494633,308,0.6003898635477583,283.0278973357747,24.97210266422533,1.0882319478019487,18.204925296037324,6.7671773681880065,False
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,affiliation-7f51ac18f31f@service-michel_temer-0-46,CV5-004,2014,2016-03-31,2016-04-14,14,PCdoB;PDT;PMDB;PP;PR;PSD;PT;PTB,51734932,97355354,0.5314030494922755,297,0.5789473684210527,272.6097643895373,24.39023561046268,1.0894694130457154,18.386622797939882,6.003612812522793,False
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,affiliation-7f51ac18f31f@service-michel_temer-0-46,CV5-005,2014,2016-04-14,2016-04-19,5,PCdoB;PDT;PMDB;PR;PSD;PT;PTB,45305141,97355354,0.4653584948188879,259,0.5048732943469786,238.7289078420895,20.271092157910495,1.0849125995722273,15.742022264747815,4.529069893162678,True
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,affiliation-7f51ac18f31f@service-michel_temer-0-46,CV5-006,2014,2016-04-19,2016-05-12,23,PCdoB;PDT;PMDB;PR;PT;PTB,39337188,97355354,0.4040577778598597,223,0.4346978557504873,207.281640042108,15.718359957891993,1.0758309320338209,11.09608095474679,4.622279003145202,False
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,affiliation-7f51ac18f31f@service-michel_temer-0-46,CV5-007,2014,2016-05-12,2016-10-10,151,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV,62566462,97355354,0.6426607210528966,346,0.6744639376218323,329.68494990013596,16.31505009986405,1.0494867906612237,20.253867595361555,-3.9388174954975064,False
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,affiliation-7f51ac18f31f@service-michel_temer-0-46,CV5-008,2014,2016-10-10,2016-10-11,1,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV,56298584,97355354,0.578279279843202,312,0.6081871345029239,296.6572705595627,15.342729440437349,1.0517187035783666,19.604503474585236,-4.261774034147886,False
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,affiliation-7f51ac18f31f@service-michel_temer-0-46,CV5-009,2014,2016-10-11,2016-10-25,14,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV,62566462,97355354,0.6426607210528966,346,0.6744639376218323,329.68494990013596,16.31505009986405,1.0494867906612237,20.253867595361555,-3.9388174954975064,False
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,affiliation-7f51ac18f31f@service-michel_temer-0-46,CV5-010,2014,2016-10-25,2016-10-26,1,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV,56298584,97355354,0.578279279843202,312,0.6081871345029239,296.6572705595627,15.342729440437349,1.0517187035783666,19.604503474585236,-4.261774034147886,False
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,affiliation-7f51ac18f31f@service-michel_temer-0-46,CV5-011,2014,2016-10-26,2017-04-26,182,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV,62566462,97355354,0.6426607210528966,346,0.6744639376218323,329.68494990013596,16.31505009986405,1.0494867906612237,20.253867595361555,-3.9388174954975064,False
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,affiliation-7f51ac18f31f@service-michel_temer-0-46,CV5-012,2014,2017-04-26,2017-04-27,1,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV,56298584,97355354,0.578279279843202,312,0.6081871345029239,296.6572705595627,15.342729440437349,1.0517187035783666,19.604503474585236,-4.261774034147886,False
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,affiliation-7f51ac18f31f@service-michel_temer-0-46,CV5-013,2014,2017-04-27,2017-08-02,97,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV,62566462,97355354,0.6426607210528966,346,0.6744639376218323,329.68494990013596,16.31505009986405,1.0494867906612237,20.253867595361555,-3.9388174954975064,False
